MAPK3	21.913190806000443	-61.285255666996704
STAT3	-94.99131217528708	-66.68696703132343
PTK2	165.50076672949754	65.5766316681854
PXN	238.80454177535245	142.3974819618273
FYN	-182.46281641515398	-125.98642631144784
PLCG1	-115.97548380863876	-109.36615436187134
BCAR1	2.4819700521299604	119.07229419293888
STAT5A	-165.34373392488976	-183.21162393337946
GRB2	-90.09790953737078	17.34419606135569
EGFR	-156.99272012129563	-26.830972330266803
GAB1	186.07815636154967	382.9814778550037
EGF	-27.50311289171694	-104.5256344960945
MAPK9	7.6190773416544175	-167.10366962452915
MAPK14	-208.14156874058298	-69.32072993125732
SHC1	-263.95820110074703	-123.96485622902571
TNK2	25.97859898502076	-8.132803165928618
WASL	263.95820110074703	65.6588929267896
EPHA7	-259.36957805387203	118.59629478814321
CDK5	-169.21374504317646	117.78837606662054
EPHA3	-169.4162894582728	183.21162393337946
PTPN11	-83.57089123727124	-157.81624702952578
MAPK1	257.46172077425297	-140.21162393337946
TPR	257.46172077425297	-75.15352988421222
MARCKS	107.98840858752786	-161.1904161593413
